square_footage,bedrooms,bathrooms,price
1450.0,3.0,2.0,70.0
1200.0,4.0,4.0,155.0
1296.0,2.0,2.0,80.0
1540.0,3.0,3.0,90.0
2894.0,4.0,4.0,245.0
1330.0,3.0,2.0,48.0
1200.0,2.0,2.0,65.0
1200.0,3.0,3.0,90.0
2502.0,3.0,3.0,138.0
650.0,2.0,1.0,17.0
2400.0,3.0,2.0,150.0
1007.0,2.0,2.0,43.0
1200.0,2.0,2.0,50.0
966.0,2.0,2.0,49.9
1630.0,3.0,2.0,98.0
1640.0,3.0,3.0,229.0
782.0,2.0,2.0,55.68
1260.0,2.0,2.0,66.78
1800.0,3.0,3.0,120.0
1413.0,3.0,2.0,75.0
1116.0,2.0,2.0,51.91
1530.0,3.0,2.0,45.9
3700.0,4.0,4.0,225.0
2497.0,3.0,3.0,140.0
1540.0,3.0,2.0,64.0
1436.0,3.0,3.0,74.75
1100.0,2.0,2.0,75.0
276.0,2.0,3.0,23.0
1427.0,3.0,3.0,120.0
2061.0,3.0,3.0,200.0
5611.5,4.0,4.0,477.0
2650.0,4.0,4.0,150.0
1282.0,3.0,2.0,68.52
1050.0,2.0,2.0,34.0
1600.0,3.0,3.0,65.0
945.0,2.0,2.0,54.0
1500.0,2.0,2.0,78.0
950.0,7.0,7.0,115.0
1870.0,3.0,3.0,110.0
1600.0,3.0,3.0,75.0
880.0,2.0,1.0,16.5
1200.0,4.0,4.0,210.0
1535.0,3.0,3.0,83.0
950.0,2.0,2.0,57.0
1360.0,2.0,2.0,65.0
1073.5,2.0,2.0,54.005
1280.0,3.0,3.0,50.4
1260.0,3.0,2.0,85.05
5000.0,8.0,8.0,250.0
3050.0,5.0,5.0,213.0
1563.05,3.0,3.0,105.0
1000.0,2.0,2.0,60.0
1167.0,2.0,2.0,43.76
4000.0,7.0,7.0,225.0
1828.0,3.0,3.0,110.0
890.0,2.0,2.0,35.0
1612.0,3.0,3.0,46.74
1034.0,6.0,5.0,185.0
1710.0,3.0,4.0,91.31
957.0,2.0,2.0,58.0
1250.0,3.0,2.0,44.0
2795.0,3.0,4.0,235.0
1125.0,2.0,2.0,50.0
1020.0,2.0,2.0,30.6
1200.0,2.0,2.0,50.0
1735.0,3.0,3.0,135.0
2050.0,3.0,3.0,145.0
3750.0,4.0,4.0,760.0
1350.0,3.0,2.0,48.0
1063.0,2.0,2.0,32.0
1904.0,3.0,3.0,150.0
4200.0,4.0,4.0,420.0
2000.0,3.0,3.0,175.0
1242.5,2.0,2.0,43.49
1425.0,3.0,2.0,75.0
1500.0,3.0,2.0,64.5
1060.0,2.0,2.0,60.0
1470.0,3.0,2.0,70.0
1300.0,6.0,6.0,99.0
450.0,1.0,1.0,11.0
1152.0,2.0,2.0,64.5
1350.0,3.0,2.0,56.0
1550.0,3.0,3.0,65.0
1500.0,3.0,3.0,100.0
600.0,5.0,3.0,85.0
400.0,1.0,1.0,14.0
705.0,1.0,1.0,67.0
770.0,2.0,1.0,36.0
1242.0,2.0,2.0,51.0
1700.0,3.0,3.0,155.0
2144.0,3.0,3.0,145.0
1704.0,3.0,3.0,110.0
1070.0,2.0,2.0,52.0
1846.0,3.0,3.0,300.0
1340.0,2.0,2.0,55.7
1025.0,2.0,2.0,46.0
1277.5,2.0,2.0,56.8
1200.0,2.0,2.0,52.0
2250.0,4.0,4.0,110.0
1550.0,3.0,2.0,80.0
1200.0,4.0,5.0,325.0
1800.0,7.0,7.0,250.0
1200.0,2.0,2.0,60.0
1327.0,2.0,2.0,98.0
1186.0,2.0,2.0,58.0
1783.0,3.0,3.0,115.0
1400.0,3.0,3.0,56.0
980.0,2.0,2.0,48.0
1285.0,2.0,2.0,82.0
912.0,3.0,2.0,70.0
1225.0,2.0,2.0,47.6
1075.0,2.0,2.0,53.0
1260.0,3.0,2.0,54.0
1282.0,3.0,2.0,48.7
1909.0,3.0,3.0,88.0
1359.0,2.0,2.0,87.0
1207.0,2.0,2.0,43.5
1736.0,4.0,6.0,190.0
2850.0,4.0,4.0,428.0
1595.0,3.0,3.0,65.0
1798.0,3.0,3.0,89.0
1475.0,3.0,3.0,78.29
1580.0,3.0,3.0,100.0
1295.0,2.0,2.0,65.0
3600.0,6.0,6.0,141.0
589.0,1.0,1.0,27.0
1415.0,3.0,3.0,78.0
1787.0,3.0,3.0,98.29
1787.0,3.0,3.0,125.0
1475.0,3.0,2.0,90.0
2000.0,4.0,4.0,75.5
984.0,2.0,2.0,44.28
1630.0,3.0,2.0,74.82
2405.0,3.0,4.0,260.0
1080.0,2.0,2.0,72.0
1500.0,2.0,2.0,115.0
1900.0,3.0,3.0,119.0
805.0,2.0,2.0,22.14
1153.0,2.0,2.0,56.4
1148.0,2.0,2.0,60.0
1110.0,2.0,2.0,55.0
1100.0,2.0,2.0,42.0
1290.0,2.0,2.0,110.0
1500.0,3.0,2.0,65.0
1080.0,2.0,2.0,39.0
1933.0,3.0,3.0,129.0
3500.0,5.0,5.0,150.0
1060.0,2.0,2.0,60.0
645.0,1.0,1.0,16.45
2600.0,8.0,8.0,180.0
645.0,1.0,1.0,16.45
1644.0,3.0,3.0,84.0
1285.0,2.0,2.0,72.5
1200.0,3.0,3.0,90.0
910.0,2.0,2.0,40.0
1577.0,3.0,3.0,70.0
4050.0,3.0,3.0,280.0
2420.0,3.0,3.0,185.0
800.0,2.0,1.0,20.0
1060.0,2.0,2.0,55.0
1270.0,2.0,2.0,93.0
900.0,2.0,2.0,22.5
1280.0,2.0,2.0,69.0
1200.0,4.0,2.0,95.0
1025.0,2.0,2.0,36.0
1108.0,2.0,2.0,63.0
1200.0,5.0,5.0,170.0
3045.0,3.0,3.0,170.0
2900.0,4.0,3.0,300.0
1500.0,3.0,3.0,75.5
1295.0,2.0,2.0,43.9
1162.0,2.0,2.0,59.9
1035.0,2.0,2.0,49.2
1600.0,4.0,4.0,52.8
1464.0,3.0,3.0,46.0
1866.0,3.0,2.0,61.58
700.0,2.0,1.0,26.0
1804.0,3.0,3.0,120.0
913.0,2.0,2.0,32.0
1868.0,3.0,3.0,131.0
883.0,2.0,2.0,45.0
900.0,2.0,2.0,110.0
1664.0,3.0,2.0,73.95
2026.0,3.0,3.0,132.0
1210.0,2.0,2.0,80.9
4111.0,4.0,4.0,250.0
1762.0,3.0,3.0,91.45
1252.0,3.0,3.0,55.0
861.0,2.0,2.0,34.5
1420.0,3.0,2.0,100.0
1450.0,6.0,6.0,250.0
1490.0,3.0,3.0,78.8
1075.0,3.0,2.0,46.0
1425.0,3.0,2.0,94.0
1200.0,2.0,2.0,40.0
1280.0,3.0,2.0,56.0
1084.0,2.0,2.0,50.0
1015.0,2.0,2.0,25.88
1017.0,2.0,2.0,51.25
1027.0,2.0,2.0,44.0
1069.0,2.0,2.0,45.0
1349.0,2.0,2.0,98.2
1005.0,2.0,2.0,50.0
1417.0,2.0,2.0,75.0
1475.0,3.0,3.0,98.0
950.0,2.0,2.0,47.0
2000.0,4.0,4.0,120.0
880.0,3.0,3.0,140.0
1863.0,4.0,3.0,104.0
1010.0,2.0,2.0,29.5
1425.0,3.0,2.0,70.0
1450.0,3.0,3.0,100.0
1847.0,3.0,3.0,105.0
1100.0,2.0,2.0,45.0
525.0,1.0,1.0,26.0
1665.0,3.0,3.0,95.0
1664.0,4.0,4.0,65.0
1850.0,3.0,3.0,150.0
1438.0,2.0,2.0,100.0
1560.0,3.0,3.0,115.0
1350.0,2.0,2.0,55.55
1550.0,3.0,3.0,67.0
1140.0,2.0,2.0,46.5
1200.0,5.0,5.0,180.0
850.0,2.0,2.0,27.0
1280.0,2.0,2.0,75.0
1170.0,2.0,2.0,52.0
1113.0,2.0,2.0,51.0
1385.0,2.0,2.0,83.09
1128.0,2.0,2.0,65.0
1200.0,2.0,2.0,128.0
1200.0,4.0,4.0,165.0
2390.0,3.0,3.0,415.0
2400.0,4.0,4.0,400.0
1464.0,3.0,3.0,56.0
1200.0,2.0,2.0,55.0
1200.0,2.0,2.0,52.0
1150.0,3.0,2.0,55.0
1645.0,3.0,3.0,95.0
1000.0,2.0,2.0,67.0
2650.0,4.0,4.0,198.0
1192.0,2.0,2.0,74.0
2135.0,3.0,3.0,215.0
1173.0,2.0,2.0,58.0
1020.0,2.0,2.0,45.0
3122.0,4.0,6.0,230.0
1600.0,3.0,3.0,64.0
1200.0,2.0,2.0,79.0
1230.0,2.0,2.0,48.0
1250.0,2.0,2.0,40.0
1325.0,2.0,2.0,76.0
1850.0,3.0,3.0,150.0
525.0,1.0,2.0,21.53
1200.0,2.0,2.0,65.0
1350.0,3.0,2.0,140.0
1260.0,3.0,3.0,49.36
1800.0,3.0,3.0,150.0
11.0,3.0,3.0,74.0
1100.0,2.0,2.0,43.25
1508.0,2.0,2.0,77.0
1592.0,3.0,3.0,75.0
1388.0,2.0,2.0,57.0
630.0,1.0,1.0,28.35
2000.0,3.0,3.0,365.0
1762.0,3.0,3.0,125.0
950.0,2.0,2.0,50.0
3252.0,4.0,5.0,335.0
1116.0,2.0,2.0,50.0
1308.0,2.0,2.0,89.04
1200.0,3.0,3.0,90.0
1500.0,4.0,4.0,230.0
500.0,1.0,1.0,18.5
1075.0,2.0,2.0,52.0
530.0,1.0,1.0,11.66
1205.0,2.0,2.0,66.0
1075.0,2.0,2.0,60.0
930.0,2.0,2.0,39.0
1380.0,2.0,2.0,60.0
2483.0,4.0,5.0,212.0
1166.0,2.0,2.0,55.0
1050.0,2.0,2.0,65.0
2023.71,3.0,3.0,275.0
1200.0,2.0,2.0,46.8
1600.0,3.0,2.0,108.0
1935.0,3.0,3.0,110.0
451.0,1.0,1.0,29.9
1800.0,3.0,3.0,95.0
1400.0,3.0,3.0,77.0
1801.0,3.0,3.0,115.0
1451.0,2.0,2.0,90.0
1200.0,2.0,1.0,36.0
1160.0,2.0,2.0,44.0
1000.0,2.0,2.0,25.0
950.0,2.0,2.0,40.0
1629.0,3.0,3.0,79.0
1580.0,3.0,2.0,134.0
1826.0,3.0,3.0,121.0
1245.0,2.0,2.0,94.0
1145.0,2.0,2.0,45.79
825.0,2.0,2.0,33.0
1693.0,3.0,3.0,108.0
1113.27,2.0,2.0,53.0
1460.0,2.0,2.0,58.0
1050.0,2.0,2.0,32.0
1260.0,2.0,2.0,55.0
700.0,6.0,3.0,120.0
1656.0,2.0,2.0,120.0
1208.0,3.0,3.0,45.0
1910.0,3.0,3.0,161.0
3252.0,4.0,4.0,230.0
1200.0,2.0,2.0,65.0
1200.0,4.0,4.0,175.0
1175.0,2.0,2.0,82.0
1000.0,2.0,2.0,165.0
1200.0,4.0,2.0,125.0
2390.0,3.0,3.0,410.0
12000.0,7.0,6.0,2200.0
550.0,2.0,1.0,62.0
1185.0,2.0,2.0,38.0
750.0,2.0,2.0,38.0
1200.0,6.0,7.0,250.0
1550.0,3.0,3.0,64.5
1760.0,3.0,3.0,88.0
1125.0,2.0,2.0,62.0
1350.0,3.0,3.0,150.0
1000.0,2.0,2.0,55.0
1090.0,2.0,2.0,31.48
1200.0,2.0,2.0,60.0
1991.0,3.0,4.0,103.0
1060.0,2.0,2.0,26.5
1105.0,2.0,2.0,75.0
985.0,2.0,2.0,67.0
1533.0,6.0,5.0,85.0
1590.0,3.0,3.0,79.0
1120.0,2.0,2.0,55.0
1069.0,2.0,2.0,55.0
1933.0,3.0,3.0,140.0
1194.0,2.0,2.0,69.0
1150.0,2.0,2.0,69.0
1240.0,2.0,2.0,47.12
1419.0,2.0,2.0,48.1
1200.0,8.0,8.0,250.0
2150.0,3.0,4.0,240.0
1450.0,3.0,3.0,55.0
1630.0,3.0,3.0,68.29
708.0,2.0,1.0,40.0
1000.0,3.0,4.0,110.0
11890.0,4.0,4.0,700.0
1250.0,2.0,2.0,76.0
1400.0,3.0,2.0,95.0
1670.0,3.0,2.0,57.0
1750.0,3.0,3.0,100.0
1404.0,2.0,2.0,71.0
1715.0,3.0,2.0,95.0
630.0,1.0,1.0,34.65
1752.12,3.0,3.0,135.0
1650.0,3.0,3.0,78.0
1295.0,2.0,2.0,55.47
1800.0,3.0,3.0,252.0
1346.0,2.0,2.0,74.03
1200.0,4.0,4.0,200.0
1150.0,2.0,2.0,55.0
3309.0,4.0,4.0,325.0
1190.0,3.0,2.0,30.35
1620.0,3.0,3.0,98.0
950.0,2.0,2.0,46.96
5000.0,11.0,9.0,360.0
2450.0,3.0,3.0,120.0
1220.0,3.0,2.0,35.23
850.0,2.0,2.0,30.0
1020.0,2.0,2.0,63.0
1100.0,2.0,2.0,50.0
1150.0,2.0,2.0,126.0
1760.0,3.0,2.0,130.0
1800.0,3.0,3.0,110.0
1070.0,2.0,2.0,54.0
1500.0,4.0,4.0,220.0
1440.0,2.0,2.0,95.0
900.0,2.0,2.0,40.0
1200.0,4.0,4.0,230.0
1130.0,2.0,2.0,42.16
1320.0,2.0,2.0,165.0
1270.0,2.0,2.0,98.0
1200.0,2.0,2.0,62.0
4800.0,4.0,4.0,235.0
1200.0,2.0,2.0,74.0
929.0,2.0,2.0,50.17
1150.0,4.0,4.0,260.0
1125.0,4.0,4.0,180.0
500.0,5.0,3.0,65.0
1200.0,5.0,5.0,190.0
1464.0,3.0,3.0,56.0
3600.0,4.0,4.0,400.0
2000.0,4.0,4.0,99.0
1208.0,2.0,2.0,49.0
1130.0,2.0,2.0,60.0
1753.0,3.0,3.0,120.0
4500.0,5.0,7.0,337.0
600.0,3.0,3.0,58.0
1196.0,2.0,2.0,94.42
1150.0,2.0,3.0,52.5
1128.0,2.0,2.0,63.0
1000.0,2.0,2.0,53.0
1035.0,2.0,2.0,45.0
950.0,2.0,2.0,32.0
1075.0,3.0,2.0,36.0
1040.0,2.0,2.0,48.5
720.0,2.0,2.0,45.0
1511.0,3.0,3.0,95.0
1300.0,3.0,3.0,58.0
1545.0,3.0,3.0,68.75
375.0,1.0,2.0,26.0
1062.0,2.0,2.0,38.0
1115.0,2.0,2.0,40.0
1000.0,2.0,2.0,35.0
883.0,2.0,2.0,45.0
1195.0,2.0,2.0,70.0
1200.0,4.0,3.0,165.0
700.0,1.0,1.0,41.0
1246.0,2.0,2.0,67.0
660.0,4.0,4.0,90.0
8500.0,4.0,4.0,145.0
1600.0,4.0,4.0,80.0
2805.0,4.0,5.0,154.0
1584.0,3.0,3.0,65.0
3000.0,4.0,5.0,275.0
1175.0,3.0,2.0,48.0
1595.0,3.0,3.0,115.0
1353.0,2.0,2.0,110.0
1599.0,3.0,3.0,125.0
1150.0,2.0,2.0,70.0
5230.0,4.0,6.0,465.0
1155.0,2.0,2.0,42.74
1200.0,1.0,2.0,85.0
1000.0,2.0,2.0,25.0
3000.0,4.0,4.0,120.0
1867.0,3.0,3.0,160.0
1251.0,2.0,2.0,47.0
1028.0,2.0,2.0,45.5
1222.0,2.0,2.0,45.0
1170.0,3.0,2.0,66.0
2400.0,3.0,4.0,245.0
1385.0,3.0,2.0,48.48
1372.0,2.0,2.0,68.0
1282.0,3.0,2.0,49.0
5000.0,9.0,9.0,210.0
3000.0,5.0,3.0,528.0
1135.0,2.0,2.0,39.73
1768.0,3.0,3.0,101.0
1325.0,3.0,2.0,90.0
1599.0,3.0,3.0,99.0
1500.0,3.0,3.0,61.95
2610.0,3.0,3.0,499.0
1286.0,2.0,2.0,63.0
2845.0,5.0,5.0,140.0
1600.0,3.0,2.0,50.0
1317.5,2.0,2.0,63.77
3450.0,3.0,5.0,260.0
1102.0,2.0,2.0,53.67
1350.0,2.0,2.0,54.0
1200.0,3.0,2.0,42.0
1300.0,6.0,6.0,145.0
1800.0,2.0,1.0,80.0
950.0,2.0,2.0,40.0
525.0,1.0,1.0,27.25
656.0,2.0,2.0,25.0
1780.0,4.0,4.0,175.0
1056.0,2.0,2.0,80.0
595.0,1.0,1.0,33.32
1080.0,2.0,2.0,50.0
2225.0,3.0,3.0,160.0
1126.0,2.0,2.0,28.15
1490.0,3.0,3.0,84.0
2000.0,4.0,4.0,300.0
1550.0,3.0,3.0,100.0
1600.0,3.0,3.0,86.0
1160.0,2.0,2.0,55.0
4144.0,4.0,4.0,315.0
2100.0,3.0,3.0,125.0
1404.0,2.0,2.0,69.3
2230.0,4.0,4.0,225.0
1544.0,3.0,3.0,120.0
1305.0,3.0,2.0,58.7
1230.0,2.0,2.0,80.0
1200.0,2.0,2.0,65.0
1460.0,3.0,3.0,73.0
967.0,2.0,2.0,45.0
540.0,1.0,1.0,36.0
715.0,1.0,1.0,46.0
2500.0,3.0,3.0,313.0
1578.0,3.0,3.0,180.0
1020.0,2.0,2.0,48.95
1020.0,2.0,2.0,40.0
1253.0,2.0,2.0,102.0
1180.0,2.0,2.0,42.0
961.0,2.0,2.0,38.0
1419.0,3.0,3.0,75.0
1709.0,3.0,3.0,150.0
1600.0,2.0,2.0,115.0
416.0,1.0,1.0,18.5
1100.0,2.0,2.0,98.0
1430.0,3.0,2.0,65.0
1260.0,2.0,2.0,45.0
1630.0,3.0,3.0,85.0
1249.0,3.0,3.0,44.71
1450.0,3.0,2.0,85.0
2791.0,3.0,3.0,223.0
600.0,1.0,1.0,90.0
834.0,1.0,1.0,60.0
1125.0,3.0,4.0,70.0
2060.0,3.0,3.0,140.0
12000.0,7.0,7.0,2200.0
891.0,2.0,2.0,25.0
1133.0,2.0,2.0,49.07
1075.0,3.0,2.0,37.0
3000.0,4.0,5.0,260.0
2440.0,4.0,5.0,425.0
1200.0,2.0,2.0,55.0
1075.0,2.0,2.0,45.8
1140.0,2.0,2.0,40.0
940.0,5.0,4.0,150.0
2160.0,6.0,5.0,250.0
1090.0,2.0,2.0,42.0
1500.0,4.0,4.0,70.0
4104.0,4.0,4.0,360.0
1790.0,3.0,3.0,100.0
1920.0,3.0,3.0,134.0
1374.0,2.0,2.0,95.0
1445.0,3.0,3.0,95.0
711.0,1.0,1.0,36.0
1500.0,3.0,3.0,95.0
1720.0,3.0,3.0,100.0
1400.0,3.0,3.0,60.0
1030.0,2.0,2.0,49.0
1200.0,2.0,2.0,85.0
1375.0,3.0,3.0,70.0
1050.0,2.0,1.0,56.0
2250.0,3.0,3.0,160.0
1000.0,2.0,2.0,50.0
469.0,1.0,1.0,25.0
3800.0,4.0,4.0,250.0
883.0,2.0,2.0,29.0
1820.0,3.0,2.0,86.0
1440.0,3.0,2.0,65.0
3600.0,6.0,4.0,160.0
2500.0,4.0,5.0,325.0
1225.0,2.0,2.0,48.0
4000.0,3.0,3.0,660.0
875.0,2.0,2.0,52.8
750.0,1.0,1.0,40.0
1180.0,2.0,2.0,80.0
1194.0,2.0,2.0,47.0
1500.0,3.0,2.0,62.0
1160.0,2.0,2.0,52.2
2378.0,3.0,3.0,262.0
1128.0,2.0,2.0,60.0
1500.0,3.0,3.0,150.0
1220.0,3.0,2.0,35.23
1210.0,2.0,2.0,58.0
1100.0,3.0,2.0,58.0
1200.0,3.0,3.0,46.0
3385.0,4.0,5.0,260.0
1641.0,3.0,3.0,66.0
1200.0,2.0,2.0,45.0
1260.0,2.0,2.0,67.39
1720.0,3.0,3.0,78.0
1132.5,2.0,2.0,48.13
1210.0,2.0,2.0,45.98
2200.0,4.0,4.0,200.0
1075.0,3.0,2.0,45.0
1702.0,3.0,3.0,130.0
1630.0,2.0,2.0,200.0
1141.0,2.0,2.0,38.55
2072.0,3.0,3.0,108.0
5520.0,5.0,2.0,375.0
1200.0,3.0,2.0,70.0
1350.0,3.0,3.0,77.0
4046.0,4.0,4.0,445.0
1180.0,3.0,2.0,78.34
35000.0,3.0,3.0,130.0
1355.0,2.0,2.0,115.0
600.0,1.0,1.0,50.0
1200.0,7.0,7.0,150.0
1640.0,3.0,2.0,120.0
1200.0,5.0,5.0,100.0
1190.0,3.0,2.0,57.0
2400.0,4.0,4.0,375.0
1019.0,2.0,2.0,49.85
1875.0,3.0,3.0,165.0
1250.0,3.0,3.0,40.0
1200.0,3.0,3.0,140.0
1140.0,2.0,2.0,56.0
1683.0,3.0,3.0,109.0
1515.0,3.0,3.0,83.3
2118.0,4.0,4.0,111.0
1380.0,4.0,3.0,58.0
1083.0,2.0,2.0,61.75
600.0,2.0,2.0,55.0
2300.0,3.0,3.0,120.0
1240.0,2.0,2.0,60.0
1750.0,3.0,3.0,120.0
1230.0,2.0,2.0,43.48
1500.0,3.0,3.0,139.0
985.0,2.0,2.0,40.39
1500.0,3.0,2.0,87.0
1125.0,2.0,2.0,32.49
950.0,2.0,2.0,44.0
5600.0,5.0,2.0,548.5
1580.0,3.0,3.0,76.0
1092.0,3.0,2.0,98.5
1090.0,2.0,2.0,28.34
2264.0,3.0,3.0,159.0
1033.0,3.0,2.0,25.53
810.0,2.0,2.0,24.5
1045.0,2.0,2.0,45.0
1337.0,2.0,2.0,82.0
1200.0,2.0,2.0,32.0
1580.0,3.0,3.0,160.0
1500.0,3.0,2.0,54.0
1640.0,3.0,4.0,91.0
1570.0,3.0,3.0,62.0
1470.0,3.0,2.0,82.0
1160.0,2.0,2.0,40.61
1050.0,2.0,2.0,71.0
1855.0,3.0,3.0,225.0
1460.0,3.0,2.0,90.0
1823.0,3.0,3.0,100.0
1094.0,2.0,2.0,42.0
1153.0,2.0,2.0,57.0
1325.0,3.0,3.0,57.0
1200.0,4.0,3.0,85.0
1590.0,3.0,2.0,125.0
1210.0,5.0,4.0,160.0
1200.0,4.0,4.0,220.0
1202.0,2.0,2.0,48.0
1202.0,2.0,2.0,53.0
1200.0,2.0,2.0,62.5
1688.0,3.0,3.0,118.0
1020.0,2.0,2.0,52.0
1185.0,2.0,2.0,47.0
1235.0,2.0,2.0,52.04
3205.0,4.0,5.0,500.0
1077.0,2.0,2.0,37.64
1415.0,3.0,2.0,66.0
2330.0,3.0,3.0,162.0
805.0,2.0,2.0,35.0
425.0,1.0,1.0,20.03
1155.0,2.0,2.0,59.95
5270.0,4.0,4.0,1250.0
656.0,2.0,2.0,22.0
1100.0,2.0,2.0,48.0
1150.0,2.0,2.0,52.0
600.0,1.0,1.0,60.0
1468.0,2.0,2.0,140.0
4300.0,4.0,5.0,550.0
2280.0,3.0,4.0,126.0
1341.0,2.0,2.0,97.0
1279.0,2.0,2.0,77.0
2225.0,4.0,4.0,98.88
1185.0,2.0,2.0,43.51
1750.0,3.0,3.0,85.0
1152.0,2.0,2.0,53.5
1000.0,5.0,4.0,160.0
1300.0,2.0,2.0,36.0
2760.0,4.0,4.0,155.0
1070.0,2.0,2.0,39.0
1101.0,2.0,2.0,45.0
775.0,2.0,2.0,55.0
667.0,1.0,1.0,36.85
1070.0,2.0,2.0,55.0
1875.0,3.0,2.0,110.0
735.0,2.0,2.0,57.99
4360.0,5.0,4.0,90.0
1750.0,3.0,3.0,130.0
1215.0,2.0,2.0,67.0
600.0,9.0,9.0,190.0
820.0,2.0,2.0,30.0
1177.5,2.0,2.0,59.935
1779.0,3.0,3.0,89.61
1105.0,2.0,2.0,58.0
1650.0,3.0,3.0,60.0
1694.0,2.0,2.0,150.0
2376.0,3.0,3.0,203.0
1975.0,3.0,3.0,150.0
674.0,2.0,2.0,33.0
1185.0,2.0,2.0,41.0
445.0,1.0,1.0,28.0
900.0,6.0,7.0,76.0
1475.0,3.0,3.0,75.0
1618.0,3.0,3.0,82.5
1120.0,2.0,2.0,65.0
2181.0,4.0,3.0,152.0
1200.0,4.0,4.0,90.0
600.0,6.0,4.0,65.0
1556.0,3.0,2.0,59.13
1179.0,2.0,2.0,66.02
1296.0,2.0,2.0,83.0
1275.0,2.0,2.0,52.0
1875.0,7.0,2.0,300.0
1400.0,3.0,2.0,77.0
1222.0,2.0,2.0,63.0
940.0,2.0,2.0,41.0
1185.0,2.0,2.0,42.6
1779.0,3.0,3.0,112.0
1615.0,3.0,3.0,59.76
4624.5,4.0,2.0,453.0
1056.0,2.0,2.0,61.0
1100.0,2.0,2.0,46.0
920.0,2.0,2.0,40.0
1602.0,3.0,2.0,75.0
1176.0,2.0,2.0,62.0
675.0,4.0,3.0,59.0
1352.0,3.0,3.0,135.0
1717.0,3.0,3.0,99.0
10961.0,4.0,4.0,80.0
2119.0,4.0,4.0,111.0
1246.0,2.0,2.0,67.3
1141.0,2.0,2.0,42.79
1157.0,2.0,2.0,84.0
1025.0,2.0,2.0,27.68
650.0,1.0,1.0,33.0
1349.0,2.0,2.0,98.0
1566.0,3.0,3.0,83.3
2830.0,4.0,3.0,195.0
1320.0,3.0,2.0,38.13
1780.0,3.0,3.0,84.83
1091.0,2.0,2.0,34.9
3670.0,4.0,4.0,300.0
918.0,2.0,2.0,50.49
1950.0,4.0,4.0,130.0
1695.0,3.0,3.0,90.0
1705.0,3.0,3.0,95.0
1375.0,3.0,3.0,75.0
525.0,1.0,1.0,30.0
1447.0,2.0,2.0,83.0
1114.0,2.0,2.0,39.0
